segment,comp_0,comp_1,comp_2,comp_3,comp_4
0,0.44237676,0.18731245,-0.6985844,-0.30475393,-0.62041736
1,0.55450505,-1.604447,-0.30780163,-2.0610185,-1.3008949
2,0.41554433,-1.5596001,-1.2847223,-1.0247627,-1.5925584
3,0.08283762,-1.565282,0.9431086,-0.15821037,-0.7292306
4,0.20260014,-0.064285755,-0.60548973,-0.80807966,-0.64585805
5,-0.35235313,-0.17453717,0.67861664,0.060613327,-1.12188
6,0.31978458,-0.6177234,-0.74872416,-1.4819651,-1.4741808
7,-0.32305792,0.12977044,-0.213815,0.2226006,-0.5459775
8,-0.23339444,-0.3085991,-0.7466951,-0.44462186,-0.5941058
9,0.058234703,-1.2201693,0.7978486,-0.27294064,-3.2074382
10,-0.28305298,-0.68336284,0.13955872,0.091613196,-2.3649006
11,-0.6282975,-2.1909518,1.1354357,-0.44762844,-2.0491252
12,-0.056022093,-0.67961127,-0.8671995,-0.8477847,-0.9052315
13,-0.2125982,-0.056123655,-0.43642953,-0.50277096,-0.62974846
14,-0.32003003,-0.042651646,0.12636566,-0.35646483,-1.0574892
15,0.44128764,0.1664538,-0.10190112,-0.053891335,-1.5244914
16,0.07248088,-1.7778795,-0.88458824,-0.8454042,-2.0989654
17,-0.1485953,0.40552038,-0.38371745,-0.7779818,-0.96216303
18,0.1830455,-0.35309523,0.0057843695,-0.95060784,-1.1102045
19,0.26851955,-0.59349394,-0.48027852,-1.3435392,-1.2895129
20,0.28967088,-0.63760394,-0.2173096,-0.64000434,-0.8128184
21,0.35383257,0.051880598,0.7301873,-0.50941277,-1.1496117
22,0.17399518,-0.020247247,-0.159373,-0.009350169,-0.89335406
23,0.31309086,0.14512514,-0.06593146,-0.72793794,-0.769186
24,0.06687255,0.10903972,1.8642149,-0.18182823,-0.51542556
25,-0.5457854,-1.7899275,-1.2004709,-2.915186,-0.3221659
26,0.57680225,-3.4483159,-4.1576247,-14.32613,-3.1877794
27,0.7789092,-0.5000518,1.2988431,-3.0671358,-0.17821021
28,1.4455998,0.33515364,0.1690783,-3.2594194,-0.7836794
29,-0.03450855,0.023832537,-0.14096601,-3.827337,-0.4731775
30,-0.7462796,0.12048508,0.21446341,-1.0414667,-0.79122055
31,0.033751454,-0.33537757,1.8373067,-1.1904805,-0.18252988
32,-0.23622054,-1.91038,-1.3598572,-1.5025735,-0.40904862
33,0.73979056,-1.7346319,-0.48315665,-1.3471918,-0.87605566
34,1.6992205,-0.583213,0.70348203,-2.1739125,-0.5155836
35,0.35987335,-0.17721534,0.3444089,-0.6704671,-0.6539114
36,0.24568418,-1.5486045,-0.4098973,-1.1648103,0.4780044
37,0.847212,-0.7901766,-1.5305283,-0.50290644,-1.2575197
38,-0.6853428,-0.20037252,0.49096125,-0.47426954,-0.79792166
39,0.055429,-0.2656808,0.44458652,0.034796074,-1.3881972
40,0.26650205,-0.63679266,-0.7370556,-0.55158603,-0.9570212
41,-0.7435397,0.26584285,-0.05938347,-1.0866134,-0.2280886
42,0.36867502,0.14217427,0.13451731,-0.70778286,-1.689579
43,0.3384521,-0.15206134,-0.5194381,-0.3998173,-0.682502
44,0.8247341,-1.0726073,-0.32812867,-0.94041187,-1.1308078
45,0.30473846,0.16046841,0.86586744,-0.6209313,-0.92368937
46,-0.6231356,-0.3554502,-0.16701646,-1.221312,-0.31247357
47,-0.19044845,-0.009879332,-0.4102761,-0.593163,-1.2603114
48,-0.56623024,-1.3921776,0.007536911,-0.40613455,-1.8733822
49,-0.8178057,-2.0290668,-0.5066999,-2.6973834,-3.297212
50,-0.2366764,-0.65943134,0.6225759,-1.8433456,-1.4322447
51,0.053883053,-2.2814705,-0.7666993,-1.0972455,-2.3614275
52,-0.0027678949,-2.2584379,-0.49764132,-0.96596766,-0.7359427
53,-0.4276418,-1.4876506,-0.23457025,-1.5303174,-2.339487
54,-0.5616174,-1.0834011,1.1154586,-1.5014013,-1.9206178
55,0.9772774,-2.150587,-0.3084551,-0.43478245,-1.3948469
56,1.0580854,-2.3385205,-0.71542996,-1.3282912,-0.9442054
57,1.9564936,-3.3537362,-1.0135587,-2.9436195,-2.037093
58,-0.07844787,-1.2738162,-0.7485173,-0.3110656,-1.1830096
59,0.26301903,-2.0155537,-1.6828312,-0.09517981,-1.2559893
60,-0.9107,-0.8005097,1.4662476,-0.6136581,-0.13086282
