component,cv_var,log_var_range,mean_var,min_var,max_var
comp_4,2.1517966,5.74827,27.131935,1.4137521,443.41986
comp_1,2.0734818,5.7448287,35.838818,1.8015591,563.11346
comp_5,1.4858689,5.8040338,34.358875,1.0099137,334.92227
comp_7,1.4802197,4.768928,29.356234,2.7085285,319.04538
comp_9,1.3923151,5.352713,33.900566,1.5371044,324.60645
comp_8,1.2111673,4.48824,27.842299,2.6079361,232.01431
comp_6,1.1445931,4.8211927,23.93312,1.2283,152.44803
comp_2,1.047848,4.6339307,33.027847,2.0239542,208.3009
comp_0,1.0223026,4.5148754,25.660593,1.4649761,133.84926
comp_3,0.96744287,3.8468657,31.051996,2.520903,118.09424
