segment,comp_0,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9
0,0.0054094554,0.7440934,1.7700346,-0.9643267,0.14899898,0.43908024,-0.51378185,1.6959782,0.56626946,-2.1163244
1,-1.6825297,1.0691551,-1.7728045,0.24498363,6.570006,3.4245343,-1.9496043,2.2970963,2.7752302,0.22007497
2,-3.0302265,-0.063675225,0.729239,0.64201635,5.323812,3.0610933,-3.4925632,0.5914975,3.4318404,-0.4127029
3,-2.7172725,0.14290373,0.610323,2.6803372,2.9020047,2.5081632,-2.9866834,2.4286897,1.3002601,0.022901377
4,-0.37538895,2.311694,0.23317827,0.26484206,0.9383209,0.59362847,-0.22430928,2.2542071,0.45764145,0.7050475
5,0.14544134,-1.4630599,1.1963564,1.3577527,-0.10632186,-1.2926043,-0.7756792,1.9338521,3.747926,-2.871698
6,-2.8898005,4.372692,2.09072,3.218598,1.0487554,2.8627381,-3.6071644,0.8589769,-0.722394,-0.17760213
7,-0.5988576,0.2077045,1.733032,2.3438187,1.1616492,-0.9764281,-0.533718,2.53648,0.38661027,-3.3275285
8,-0.73466814,1.4155128,3.4072368,3.6759708,2.776751,-0.9473708,-1.0866262,0.72054744,2.9152918,-4.897661
9,-0.33276477,-0.66918445,0.011506424,5.7851114,4.412954,-0.300091,-7.0456142,-0.34842306,8.352829,-0.25770172
10,0.6199253,-1.835309,3.1834767,2.238886,2.5915358,0.6204237,-4.99697,0.15412828,8.859804,-0.060636383
11,-0.5432498,-0.76689136,0.08501848,3.9671428,6.5427117,1.6729369,-5.1995053,1.3979709,7.3630548,1.8810495
12,0.34138256,0.9136209,1.4738528,3.5146947,2.6503904,0.9246299,-6.55146,1.5596597,5.4954286,0.53127617
13,-0.44089717,-0.21046536,1.1596367,1.0570524,0.6411589,0.43970972,-0.25815716,2.7746677,0.50468683,-0.56412566
14,-0.44899082,0.95945024,1.4398837,0.8447701,0.62437356,1.036844,-0.4338194,2.6127872,2.2190406,-2.2008517
15,-1.8196255,1.5792005,2.0560637,0.501928,-0.45832807,-0.31256106,-1.5050066,0.5603441,0.0035515002,-2.9100254
16,-1.0319391,0.09804533,1.3374646,1.0171946,2.61048,-0.35838884,-4.438511,-0.4167281,4.0645456,-0.054949872
17,0.043064676,1.733472,0.86542255,2.8437831,1.795536,-0.16692135,-1.9616287,1.8325865,2.1936367,-0.26362115
18,-0.924891,1.514325,-0.257871,0.41390604,1.7076167,1.9320867,-1.1153368,1.9450331,0.82578367,-1.6657393
19,-0.40405065,1.0824403,-1.8960179,0.38899407,5.0290217,2.9914396,-1.958929,1.4261051,4.87963,-0.12799418
20,-1.1391093,1.2297298,0.76744044,1.7703092,1.3688861,0.69991785,-1.359608,0.39932016,0.81561214,-1.7281859
21,0.41650513,0.74628884,1.4288429,1.5965536,1.0493417,0.86100733,-0.9240105,0.8805892,2.7147229,-2.4413726
22,0.42892447,0.045846447,2.4746058,0.004497301,-0.44036528,-1.0511818,0.55187637,0.67557216,2.4390912,-2.0244849
23,0.54232734,-0.42691922,-0.16076127,0.7785014,-0.967977,0.5552373,-0.0020654316,2.4166155,0.81632197,-3.5680993
24,0.9752496,0.3889787,-1.5854582,3.2779846,0.21754138,2.6170886,-1.1659144,3.0530436,2.995307,-2.388651
25,-1.8717855,2.5396633,-3.4085011,0.9998109,10.27876,2.452486,-4.6973076,3.0938282,3.4749873,2.7841206
26,-4.0872693,6.6670294,-18.325583,-4.67232,35.78441,11.9371605,-18.28426,14.8367195,3.353354,9.531519
27,-3.2271366,6.4774404,-1.5560019,0.28525746,8.180391,6.228929,-14.283708,5.909917,1.0082307,1.242071
28,-1.1798099,4.3732653,-0.36127838,0.2512257,4.422261,2.352605,-5.42773,5.9802833,-1.0283616,-2.5185504
29,-0.1259063,2.6165285,-4.161997,1.7787138,7.5060525,3.2013586,-5.5147996,9.2753,0.14485289,1.3852607
30,-0.18410084,0.15685737,1.302592,1.6819752,2.754547,0.59492373,-6.8121395,2.3857408,1.7508205,-1.83109
31,-2.1418853,2.250983,-0.32939225,4.960906,0.26796898,2.5906835,-8.303395,2.3390424,-3.1484237,-0.64699036
